职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,,规模类型,地区,*n薪,薪酬_n,月薪最小值,月薪最大值
市场营销策划经理,安吉天使小镇乐园有限公司,1.6-2.5万,湖州,大专,3-4年,"弹性工作
五险一金
节日福利
餐饮补贴
带薪年假
做五休二
高温补贴
免费班车",酒店/旅游,,,民营  |  500-1000人,,,,,
营销经理,镇海石化物流有限责任公司,1.5-3万,宁波·镇海区,本科,3-4年,"营销主管
物流
贸易
周末双休
带薪年假
五险一金
绩效奖金
专业培训
餐饮补贴",交通/运输/物流,,,民营  |  500-1000人,,,,,
市场营销专员,成都美尔贝科技股份有限公司,6-8千,成都·高新区,大专,1年,"五险一金
定期体检
弹性工作
补充医疗保险
交通补贴
绩效奖金",互联网/电子商务,,,民营  |  500-1000人,,,,,
营销经理,三一重卡,8千-1.5万·13薪,长沙·长沙县,大专,3-4年,"五险一金
餐饮补贴
年终奖金
定期体检
弹性工作
专业培训
免费班车
绩效奖金
销售提奖
汽车销售
拜访客户
大客户营销
新能源
重卡
工程机械
维护客情
客户服务
客户资源",机械/设备/重工,,,民营  |  500-1000人,,,,,
营销经理,三一重卡,8千-1.5万·13薪,长沙·长沙县,大专,3-4年,"五险一金
餐饮补贴
年终奖金
定期体检
弹性工作
专业培训
免费班车
绩效奖金
销售提奖
汽车销售
拜访客户
大客户营销
新能源
重卡
工程机械
维护客情
客户服务
客户资源",机械/设备/重工,,,民营  |  500-1000人,,,,,
营销总监（内贸）,江西春光新材料科技股份有限公司,2-3万,上海·浦东新区,本科,5-7年,"营销总监
年终奖金
员工旅游
五险一金
专业培训",制药/生物工程,,,民营  |  150-500人,,,,,
营销总监/销售总监（30-60万）,欧泰贡（广东）食品有限公司,3-5万·13薪,广州·番禺区,本科,5-7年,"销售
冻品
食品
快消
销售团队管理
经销商
商超
KA管理
大客户管理
全渠道
大小周
五险一金
员工旅游
出国机会
绩效奖金
年终奖金
股票期权
定期体检",批发/零售,,,外资（非欧美）  |  50-150人,,,,,
营销策划专员,南昌市宝地科技咨询有限公司,7千-1万,南昌·红谷滩新区,大专,3-4年,"市场营销
网络营销平台
渠道建设
市场推广
床垫
五险一金
专业培训
绩效奖金",专业服务(咨询、人力资源、财会),,,民营  |  50-150人,,,,,
市场/营销/拓展专员,南京忠安医疗科技服务有限公司,6千-1万,南京·江北新区,大专,2年,"产品运营
活动推广
策划推广
跟踪项目进度
医疗项目
五险一金
交通补贴
通讯补贴
绩效奖金
弹性工作
专业培训
年终奖金
补充医疗保险
包住",医疗/护理/卫生,,,民营  |  50-150人,,,,,
技术营销专员,浙江中凯科技股份有限公司,6千-1万,温州·乐清市,高中,3-4年,"五险一金
交通补贴
通讯补贴
专业培训
绩效奖金
弹性工作",机械/设备/重工,,,民营  |  150-500人,,,,,
营销策划经理,广州市茶滘置业发展有限公司,1.2-2万,广州·荔湾区,本科,3-4年,"营销策划
营销推广
五险一金
专业培训
年终奖金
员工旅游
定期体检
带薪年假
高温补贴
绩效奖金
餐饮补贴",房地产,,,民营  |  150-500人,,,,,
营销经理,安徽喜尔美企业管理有限公司,7千-1.4万,合肥·高新区,大专,5-7年,"节日福利
五险
通讯补贴",计算机服务(系统、数据服务、维修),,,民营  |  50-150人,,,,,
医疗产品营销,青岛中惠圣熙生物工程有限公司,6.5千-1.2万,青岛·李沧区,大专,无需经验,"市场推广
推广专员
五险一金
休息一天半
工作餐
绩效奖金",制药/生物工程,,,民营  |  50-150人,,,,,
电源营销经理,上海丽雨光电有限公司,1.2-1.5万,邵阳,大专,2年,"做五休二
周末双休
带薪年假
五险一金
绩效奖金
节日福利",电子技术/半导体/集成电路,,,民营  |  150-500人,,,,,
市场营销助理,林迪（宁波）电子有限公司,8-10万/年,宁波·鄞州区,本科,1年,"五险一金
周末双休
带薪年假
节日福利
高温补贴
餐饮补贴
年终奖金
定期体检
绩效奖金",通信/电信/网络设备,,,外资（欧美）  |  少于50人,,,,,
全国区域-主动营销经理,喜临门家具股份有限公司,15-30万/年,绍兴·越城区,本科,3-4年,"五险一金
免费班车
餐饮补贴",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
大客户营销经理（光谷江夏项目）,武汉市富安居置业有限公司,1.5-2.5万,武汉·江夏区,大专,3-4年,"房地产
年终奖金
五险一金
包吃
专业培训
节日福利
交通补贴
通讯补贴
包住宿",房地产,,,民营  |  50-150人,,,,,
2B端市场营销（连接部）,上海共志通信信息技术发展有限公司,8千-1万,上海·浦东新区,本科,2年,"2B端
通信行业
五险一金
免费班车
餐饮补贴
年终奖金
绩效奖金
定期体检
通讯补贴
交通补贴",通信/电信/网络设备,,,国企  |  1000-5000人,,,,,
营销策划,上海傲石设计咨询有限公司,1-1.5万,上海·静安区,本科,3-4年,"品牌推广
品牌策划
五险一金
绩效奖金
员工旅游
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检
周末双休",家居/室内设计/装潢,,,民营  |  50-150人,,,,,
营销经理,太仓市高新区沙掌门餐饮店,12-18万/年,昆山,本科,8-9年,"市场营销
企划
营销推广
市场调研
新媒体运营
活动推广
自媒体运营
市场及营销
活动策划
营销策划
定期体检
年终奖金
绩效奖金
专业培训
员工旅游
五险一金",餐饮业,,,民营  |  50-150人,,,,,
材料营销专员/助理,南京龙瑞装饰设计工程有限公司,4-8千,南京·建邺区,大专,1年,"五险一金
绩效奖金
弹性工作
专业培训
装饰设计
工程
主材
营销",建筑/建材/工程,,,民营  |  150-500人,,,,,
项目营销负责人（葛店）,华润置地（武汉）有限公司,2-3万·16薪,鄂州,本科,3-4年,"五险一金
补充医疗保险
交通补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检
餐饮补贴",房地产,,,外资（非欧美）  |  150-500人,,,,,
营销主管/经理,杭州矽磁微电子有限公司,8千-1.5万,杭州·余杭区,本科,1年,"芯片销售
元器件销售
销售经理
销售主管
销售总监
市场开拓
渠道建设
电子元器件
五险一金
年终奖金
定期体检",电子技术/半导体/集成电路,,,民营  |  少于50人,,,,,
营销专员/助理,长江精工（上海）建筑科技有限公司,7-9千·13薪,上海·闵行区,本科,2年,"钢结构行业
合同评审
宣讲ppt
营销工具
五险一金
餐饮补贴
专业培训
定期体检
年终奖金",建筑/建材/工程,,,民营  |  50-150人,,,,,
市场营销 助理,上海海仕平面设计有限公司,5-7千,上海·徐汇区,本科,无需经验,"培训
数据分析
市场营销
营销
互联网
电商平台
数据可视化
营销计划
b2b
数字营销
五险一金
弹性工作
可以撸猫",广告,,,外资（非欧美）  |  少于50人,,,,,
商业营销经理（璧山）,重庆文房房地产营销策划有限公司,30-60万/年,重庆·璧山区,大专,2年,"五险
绩效奖金
带薪年假
专业培训
团队旅游
晋升快速
商铺
高薪",房地产,,,民营  |  50-150人,,,,,
营销策划经理,重庆文房房地产营销策划有限公司,8千-1.2万,重庆·渝北区,大专,5-7年,"五险
绩效奖金
带薪年假
专业培训
团队旅游
晋升快速",房地产,,,民营  |  50-150人,,,,,
市场/营销/拓展专员,武汉鑫连鑫物业管理有限公司,5-7千,武汉,大专,1年,"房地产
物业
招标
五险
节日福利",物业管理/商业中心,,,民营  |  500-1000人,,,,,
多媒体营销,深圳市鑫发环球国际货运有限公司,7千-1万,深圳·罗湖区,大专,1年,"推广
运营
宣传文案
剪映
剪辑短视频
剪辑
拍摄
线上运营
运营体系
员工旅游
五险一金
专业培训
周末双休
带薪年假
绩效奖金
全勤奖
节日福利",交通/运输/物流,,,民营  |  少于50人,,,,,
市场营销,维正集团,6千-1万,唐山,本科,2年,"企业服务
知识产权
销售
市场营销
市场开拓
大客户开发
五险一金
补充医疗保险
员工旅游
专业培训
绩效奖金
年终奖金
股票期权
定期体检
生日福利",专业服务(咨询、人力资源、财会),,,民营  |  1000-5000人,,,,,
机电工程营销（急招）,中工国建城市建设（深圳）有限公司,1-2万,深圳·南山区,大专,5-7年,,建筑/建材/工程,,,民营  |  50-150人,,,,,
海外营销渠道/区域经理,深圳市元早城科技有限公司,25-50万/年,深圳·南山区,大专,8-9年,"出国机会
绩效奖金
年终奖金
五险一金
专业培训
弹性工作
股票期权",电子技术/半导体/集成电路,,,民营  |  50-150人,,,,,
营销专员,湖北邦火营销策划有限公司,5千-1万,宜昌·西陵区,,无需经验,"员工旅游
专业培训
节日福利
生日福利
全勤奖
绩效奖金
社保
下午茶
年假",互联网/电子商务,,,民营  |  150-500人,,,,,
市场营销拓展专员,上海权阳贸易有限公司,0.8-1万,上海·浦东新区,本科,1年,"市场
营销
拓展
策划
网站
设计
制作
艺术
视觉
五险一金
员工旅游
交通补贴
年终奖金
通讯补贴
餐饮补贴
弹性工作
团建活动",贸易/进出口,,,民营  |  少于50人,,,,,
市场营销助理/专员,小南国（集团）有限公司,5-8千,上海·长宁区,大专,1年,"做五休二
周末双休
五险一金
通讯补贴
上市公司",多元化业务集团公司,,,已上市  |  5000-10000人,,,,,
市场营销专员,传达科技电子（惠州）有限公司,6千-1万,惠州,大专,3-4年,"包三餐
包住宿
全勤奖
加班补贴
五险",电子技术/半导体/集成电路,,,外资（非欧美）  |  500-1000人,,,,,
产品营销专员,麦粒创造科技（深圳）有限公司,1.5-1.9万,深圳,本科,1年,"带薪年假
五险一金
节日福利
绩效奖金
年底双薪
年终奖金
员工体检
员工旅游",互联网/电子商务,,,民营  |  150-500人,,,,,
品牌营销主管,合肥快师教育投资有限责任公司,1.5-2.5万,合肥·蜀山区,本科,5-7年,"五险一金
补充公积金
餐饮补贴
通讯补贴
专业培训
绩效奖金
弹性工作
年终奖金",专业服务(咨询、人力资源、财会),,,民营  ,,,,,
海外游戏市场营销(J12425),阅文集团,2-3.5万·15薪,上海·浦东新区,本科,5-7年,"营销
市场推广
海外发行
海外游戏发行
海外游戏行业
五险一金
补充医疗保险
定期体检",互联网/电子商务,,,已上市  |  1000-5000人,,,,,
营销总监,航天宏图信息技术股份有限公司,1-2万,玉林,大专,5-7年,"销售
导航
开拓市场
遥感
农业
商务洽谈
水利
软件产品
政府行业
合同签订
五险一金
交通补贴
餐饮补贴
绩效奖金
年终奖金
一对一帮传带
多通道晋升
专业培训",计算机软件,,,已上市  |  1000-5000人,,,,,
双休电话营销岗+五险一金,广东全安汽车服务中心,6千-1.1万,广州·海珠区,高中,无需经验,"销售
电话沟通维护
电话渠道
电话营销
五险一金
补充医疗保险
补充公积金
交通补贴
餐饮补贴
年终奖金
专业培训
绩效奖金
周末双休
员工旅游",专业服务(咨询、人力资源、财会),,,民营  |  少于50人,,,,,
营销经理,广东新又好集团有限公司,1-2万,广州·海珠区,,2年,"市场营销
工商管理
招投标
客户开拓
带薪年假
绩效奖金
节日福利
加班补贴
五险",餐饮业,,,民营  |  1000-5000人,,,,,
郑州/营销管培生5.7K起薪/有带教,深圳市乐有家控股集团有限公司,4-7千,郑州·管城回族区,大专,无需经验,"销售
营销
置业顾问
房地产营销
储备干部
二手房买卖
一手房代理
五险一金
员工旅游
专业培训
绩效奖金
导师带教
提供住宿
节日福利
大学生团队
氛围好",房地产,,,民营  |  10000人以上,,,,,
汽车销售转新营销/高奖金+住宿,深圳市乐有家控股集团有限公司,7.5千-1.5万,深圳·福田区,高中,无需经验,"五险一金
员工旅游
弹性工作
绩效奖金
营销
房地产
门店销售",房地产,,,民营  |  10000人以上,,,,,
市场/营销/拓展经理,上海隽皋源国际贸易有限公司,8千-1.5万,上海·闵行区,高中,1年,"市场拓展
客户发展
销售
营销
酒类销售
大客户销售
五险一金
绩效奖金
弹性工作",快速消费品(食品、饮料、化妆品),,,外企代表处  |  少于50人,,,,,
营销总监（跨境物流）,广东博洋国际物流有限公司,30-60万/年,东莞,大专,5-7年,"专业培训
绩效奖金
出国机会
年终奖金
定期体检
员工旅游
FBA
跨境物流
营销总监
销售总监",交通/运输/物流,,,民营  |  150-500人,,,,,
互联网营销专员,东莞证券股份有限公司江西分公司,4-8千,南昌·红谷滩新区,本科,无需经验,"销售
客户开发
服务
理财
微博营销
五险一金
补充医疗保险
员工旅游
专业培训
绩效奖金
年终奖金
定期体检
弹性工作",金融/投资/证券,,,国企  |  5000-10000人,,,,,
酒店营销经理（双休）,深圳前海恒轩投资有限公司,7-9千·13薪,南宁·邕宁区,大专,5-7年,"五险一金
餐饮补贴
交通补贴
通讯补贴
绩效奖金
年终奖金
定期体检
销售
市场推广
营销策略
酒店
自媒体运营
营销方案制定
拓展客户
活动铺排",计算机软件,,,民营  ,,,,,
营销官培生/接受实习生/有住宿,深圳市乐有家控股集团有限公司,6千-1.2万,深圳·福田区,大专,无需经验,"营销
营销管培
五险一金
专业培训
弹性工作
绩效奖金
餐饮补贴
员工旅游
住房补贴
提供住宿
牛人带队
自主创业",房地产,,,民营  |  10000人以上,,,,,
市场营销经理,上海韶冶机械设备有限公司,1-1.5万,佛山·顺德区,大专,2年,"销售
市场经理
客户经理",机械/设备/重工,,,民营  |  150-500人,,,,,
营销中心总经理,四川信航旅游发展有限公司,1.5-2万,成都·郫都区,大专,5-7年,"五险一金
专业培训
年终奖金
周末双休",环保,,,民营  |  150-500人,,,,,
营销总监/经理,江西蓝城九岭特色小镇旅游开发有限公司,25-35万/年,宜春,本科,2年,"五险一金
通讯补贴
绩效奖金
定期体检
交通补贴
餐饮补贴",房地产,,,民营  |  少于50人,,,,,
营销经理,广东沪利环境科技发展有限公司,1.5-2.5万,广州·天河区,中技/中专,3-4年,"客户经理
营销经理
销售
市场
带薪年假
周末双休
弹性工作
专业培训
员工旅游
年终奖金
绩效奖金
社保",环保,,,民营  |  50-150人,,,,,
市场营销经理,南京新和普电力科技有限公司,8千-1.5万·14薪,南京·雨花台区,大专,3-4年,"五险一金
免费班车
餐饮补贴
年终奖金
节日福利
交通补贴
周末双休
销售
营销",电气/电力/水利,,,民营  |  少于50人,,,,,
